KM;LAT;LONG;ESTACA;TEXTO FORMATO GOOGLE;link para google maps
146,99;-23,194282;-45,869445;7349,500000;-45.8694445554545,-23.19428231;https://www.google.com.br/maps/@-45.8694445554545,-23.19428231,20z
147,00;-23,194318;-45,869533;7350,000000;-45.8695334055814,-23.1943183923256;https://www.google.com.br/maps/@-45.8695334055814,-23.1943183923256,20z
147,01;-23,194358;-45,869620;7350,500000;-45.8696204877181,-23.1943578206711;https://www.google.com.br/maps/@-45.8696204877181,-23.1943578206711,20z
147,02;-23,194399;-45,869706;7351,000000;-45.869706473,-23.19439948525;https://www.google.com.br/maps/@-45.869706473,-23.19439948525,20z
147,03;-23,194443;-45,869792;7351,500000;-45.869792498,-23.194442529;https://www.google.com.br/maps/@-45.869792498,-23.194442529,20z
147,04;-23,194486;-45,869878;7352,000000;-45.8698782893939,-23.1944855405454;https://www.google.com.br/maps/@-45.8698782893939,-23.1944855405454,20z
147,05;-23,194529;-45,869964;7352,500000;-45.8699638651515,-23.1945285223636;https://www.google.com.br/maps/@-45.8699638651515,-23.1945285223636,20z
147,06;-23,194572;-45,870050;7353,000000;-45.8700495371597,-23.1945716744379;https://www.google.com.br/maps/@-45.8700495371597,-23.1945716744379,20z
147,07;-23,194615;-45,870135;7353,500000;-45.870135232907,-23.1946148503488;https://www.google.com.br/maps/@-45.870135232907,-23.1946148503488,20z
147,08;-23,194658;-45,870221;7354,000000;-45.8702209712791,-23.1946580189535;https://www.google.com.br/maps/@-45.8702209712791,-23.1946580189535,20z
147,09;-23,194701;-45,870307;7354,500000;-45.8703066660919,-23.1947010042529;https://www.google.com.br/maps/@-45.8703066660919,-23.1947010042529,20z
147,10;-23,194744;-45,870392;7355,000000;-45.8703923097701,-23.1947437743678;https://www.google.com.br/maps/@-45.8703923097701,-23.1947437743678,20z
147,11;-23,194786;-45,870478;7355,500000;-45.8704781642196,-23.194786210578;https://www.google.com.br/maps/@-45.8704781642196,-23.194786210578,20z
147,12;-23,194829;-45,870564;7356,000000;-45.8705641006358,-23.1948285169364;https://www.google.com.br/maps/@-45.8705641006358,-23.1948285169364,20z
147,13;-23,194871;-45,870650;7356,500000;-45.8706498052247,-23.1948714933146;https://www.google.com.br/maps/@-45.8706498052247,-23.1948714933146,20z
147,14;-23,194914;-45,870736;7357,000000;-45.8707355498305,-23.1949143732203;https://www.google.com.br/maps/@-45.8707355498305,-23.1949143732203,20z
147,15;-23,194957;-45,870821;7357,500000;-45.8708214537853,-23.1949568647458;https://www.google.com.br/maps/@-45.8708214537853,-23.1949568647458,20z
