ID do NOX;Latitude;Longitude
Dados de teste 437;-23,441101;-46,442501
Dados de teste 438;0;0
Dados de teste 439;0;0
Dados de teste 440;0;0
Dados de teste 441;0;0
Dados de teste 442;-23,441367;-46,44266
Dados de teste 443;0;0
Dados de teste 444;0;0
Dados de teste 445;0;0
Dados de teste 446;0;0
Dados de teste 447;0;0
Dados de teste 448;0;0
Dados de teste 449;-22,457472;-44,417297
Dados de teste 450;-23,332951;-46,138633
Dados de teste 451;-23,440989;-46,442273
Dados de teste 452;0;0
Dados de teste 453;-22,518097;-44,707231
Dados de teste 454;0;0
Dados de teste 455;-23,454267;-46,472233
Dados de teste 456;-23,246239;-45,929025
Dados de teste 457;0;0
Dados de teste 458;0;0
Dados de teste 459;-23,246224;-45,929024
Dados de teste 460;-22,5188;-44,708449
Dados de teste 461;0;0
Dados de teste 462;-23,246239;-45,929025
Dados de teste 463;-23,442411;-46,444629
Dados de teste 464;-23,499819;-46,560764
Dados de teste 465;0;0
Dados de teste 466;0;0
Dados de teste 467;0;0
Dados de teste 468;0;0
Dados de teste 469;0;0
Dados de teste 470;-23,260099;-45,949902
Dados de teste 471;0;0
Dados de teste 472;0;0
Dados de teste 473;0;0
Dados de teste 474;-23,4547;-46,473099
Dados de teste 475;-22,487808;-44,551603
Dados de teste 476;0;0
Dados de teste 477;-23,255589;-45,943544
Dados de teste 478;-23,454564;-46,472358
Dados de teste 479;-23,334396;-46,141441
Dados de teste 480;0;0
Dados de teste 481;-23,454399;-46,472698
Dados de teste 482;-22,45732;-44,415772
Dados de teste 483;0;0
Dados de teste 484;-23,246224;-45,929024
Dados de teste 485;-22,48718;-44,551821
Dados de teste 486;-23,454806;-46,473522
Dados de teste 487;0;0
Dados de teste 488;-23,246238;-45,929011
Dados de teste 489;-23,226569;-45,907518
Dados de teste 490;0;0
Dados de teste 491;0;0
Dados de teste 492;-23,246239;-45,929025
Dados de teste 493;-23,255573;-45,943539
Dados de teste 494;-23,246239;-45,929025
Dados de teste 495;0;0
Dados de teste 496;-23,246237;-45,929018
Dados de teste 497;-22,457327;-44,415781
Dados de teste 498;0;0
Dados de teste 499;0;0
Dados de teste 500;-22,494786;-44,570291
Dados de teste 501;-23,255329;-45,943126
Dados de teste 502;-22,4944;-44,5692
Dados de teste 503;0;0
Dados de teste 504;-23,246224;-45,929024
Dados de teste 505;-23,454478;-46,472742
Dados de teste 506;-23,233685;-45,915295
Dados de teste 507;-22,488337;-44,552617
Dados de teste 508;-23,4548;-46,4729
Dados de teste 509;0;0
Dados de teste 510;-23,255329;-45,943126
Dados de teste 511;-23,246239;-45,929025
Dados de teste 512;0;0
